Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,50,4,2105,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,50,652,603.3,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,100,541,2204,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,100,25,280.8,,,,,,
,35,Control.none,Control,0,0,none,4,5/29/2019,NA,155,3045,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,100,1,676.5,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,150,0,411.6,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,250,285,412.7,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,250,1908,3267,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,200,1613,223.9,,,,,,
,1,Control.none,Control,0,0,none,5,6/5/2019,NA,0,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,150,1,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,50,1063,,,,,,,
,4,Control.chop,Control,0,1,chop,5,6/4/2019,NA,0,,,,,,,
,5,Control.chop,Control,0,1,chop,5,6/4/2019,NA,21,,,,,,,
,6,Control.chop,Control,0,1,chop,5,6/4/2019,NA,0,,,,,,,
,7,Control.chop,Control,0,1,chop,5,6/4/2019,NA,6,,,,,,,
,8,Control.none,Control,0,0,none,5,6/5/2019,NA,41,,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,200,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,350,0,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,200,0,,,,,,,
,13,Control.chop,Control,0,1,chop,5,6/4/2019,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,150,0,,,,,,,
,15,Control.none,Control,0,0,none,5,6/5/2019,NA,14,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,200,0,,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,300,181,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,200,1285,,,,,,,
,19,Control.chop,Control,0,1,chop,5,6/4/2019,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,150,0,,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,350,623,,,,,,,
,22,Control.none,Control,0,0,none,5,6/5/2019,NA,0,,,,,,,
,23,Control.chop,Control,0,1,chop,5,6/4/2019,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,300,0,,,,,,,
